Artist,Streams,Daily,As lead,Solo,As feature
Drake,85041.3,50.775,57252.6,32681.6,27788.7
Bad Bunny,67533.0,44.82,40969.6,23073.0,26563.4
Taylor Swift,57859.0,85.793,55566.7,50425.7,2292.4
The Weeknd,53665.2,44.437,42673.3,31164.2,10991.9
Ed Sheeran,47907.7,17.506,42767.9,33917.0,5139.8
Justin Bieber,47525.7,18.868,27988.0,17183.9,19537.7
Eminem,42029.0,20.175,35475.8,21576.7,6553.2
Ariana Grande,40111.0,17.158,33219.8,23307.3,6891.2
J Balvin,38774.8,11.784,17450.7,5699.8,21324.2
Post Malone,38002.7,21.095,34494.0,18943.9,3508.6
Kanye West,37667.2,24.157,27205.7,18032.3,10461.6
Travis Scott,37489.0,38.359,18839.2,14960.2,18649.7
BTS,35778.0,14.96,32041.3,28991.6,3736.7
Rihanna,35501.8,20.778,25380.1,16736.0,10121.7
Ozuna,33315.0,13.737,13957.5,6226.7,19357.5
Juice WRLD,32332.5,13.41,23613.9,18277.1,8718.6
Future,31001.7,20.513,15374.1,7299.6,15627.6
Nicki Minaj,30759.8,16.361,10631.1,6013.9,20128.7
Kendrick Lamar,29836.5,16.652,20052.2,12208.1,9784.3
Billie Eilish,29173.3,19.313,29173.3,25240.5,
XXXTENTACION,28370.7,11.181,24681.3,20244.5,3689.4
Chris Brown,28314.1,12.788,14904.7,7064.1,13409.3
Imagine Dragons,28100.5,16.133,26430.9,22543.8,1669.6
Khalid,27776.0,8.833,14779.4,9759.3,12996.6
Coldplay,27526.1,14.86,25154.3,22329.9,2371.8
Bruno Mars,27465.0,19.063,20901.5,17207.5,6563.5
Dua Lipa,27235.7,15.613,17797.4,14127.9,9438.3
Daddy Yankee,27177.1,13.461,12446.0,6377.9,14731.1
Lil Wayne,26657.9,11.466,10013.0,2787.0,16644.9
David Guetta,25236.3,15.439,18511.0,900.8,6725.3
Lil Baby,23666.8,14.129,11599.2,5314.6,12067.6
Anuel AA,23660.2,14.711,10770.8,3227.4,12889.4
Maroon 5,23404.5,10.845,23209.5,14873.4,195.0
21 Savage,23084.0,22.288,9157.9,4814.1,13926.1
Lil Uzi Vert,22742.5,12.372,14655.8,11782.9,8086.6
Maluma,22723.3,10.115,12498.7,7746.9,10224.6
BeyoncÃ©,21982.7,13.685,18075.1,13666.3,3907.7
Shawn Mendes,21909.9,7.467,21320.3,16361.3,589.6
Calvin Harris,21862.3,11.971,20244.5,3585.6,1617.8
Young Thug,21559.8,10.418,7363.7,1862.0,14196.1
Sia,21305.2,8.156,14250.8,10347.6,7054.5
Rauw Alejandro,21277.3,17.694,11520.5,4287.6,9756.8
Sam Smith,21133.7,9.977,18066.0,13576.0,3067.7
J. Cole,21049.1,12.272,16098.4,12872.9,4950.8
Farruko,20784.1,8.096,5669.1,3160.4,15115.0
Lana Del Rey,20052.2,24.47,18194.9,16379.3,1857.3
Queen,19725.6,10.034,19672.9,18175.4,52.7
Nicky Jam,19290.2,5.769,7778.5,2043.5,11511.7
Selena Gomez,19168.1,10.339,11524.9,8252.6,7643.2
Halsey,19046.9,6.543,10511.3,9285.6,8535.6
Harry Styles,18906.5,12.693,18906.5,18906.5,
Lady Gaga,18751.7,9.844,18352.2,12142.2,399.4
One Direction,18720.4,8.746,18720.4,18638.9,
Ty Dolla $ign,18287.2,4.824,3924.5,274.6,14362.7
Myke Towers,18220.5,17.852,5895.9,3919.5,12324.6
Adele,17925.9,11.157,17883.7,17759.2,42.2
Doja Cat,17786.9,20.793,14349.5,9909.0,3437.4
KAROL G,17727.4,28.284,12291.8,5550.3,5435.6
Wiz Khalifa,17567.5,6.237,8062.2,3072.0,9505.3
The Chainsmokers,17469.2,5.249,17050.0,3069.6,419.1
Shakira,17276.3,13.587,13128.9,6087.7,4147.4
Cardi B,17017.0,5.706,7839.0,3116.5,9178.0
Katy Perry,16886.0,8.77,14672.5,11129.8,2213.4
SZA,16794.0,18.2,10545.9,7830.8,6248.0
The Beatles,16673.3,8.152,16671.1,16667.4,2.2
Marshmello,16281.2,7.784,12080.8,1423.6,4200.4
Linkin Park,16238.3,10.653,15044.7,14056.0,1193.6
DaBaby,15996.8,4.973,7515.4,4178.9,8481.4
Camila Cabello,15883.4,5.177,8984.0,4641.2,6899.4
Gunna,15648.1,12.308,5182.6,2693.8,10465.5
Arctic Monkeys,15544.5,12.98,15544.5,15544.5,
Miley Cyrus,15383.9,13.561,13186.6,11447.9,2197.3
JAY-Z,15347.1,8.892,8356.2,1897.3,6990.9
Avicii,15159.7,6.248,14182.4,9442.3,977.3
Kygo,15082.1,4.056,13455.5,200.9,1626.6
Quavo,15034.2,5.361,1682.5,619.8,13351.7
A$AP Rocky,14747.5,7.272,7892.6,3096.8,6854.9
Twenty One Pilots,14638.6,4.944,14638.6,14584.0,
Pitbull,14622.8,7.536,9983.4,1160.9,4639.4
Sech,14542.3,5.528,5941.1,1868.5,8601.3
Tyga,13894.8,4.692,6046.3,2262.1,7848.5
Feid,13849.1,22.594,7068.5,4073.9,6780.6
Jason Derulo,13527.6,4.301,10326.5,6209.6,3201.1
Metro Boomin,13511.3,16.755,6514.2,81.6,6997.2
Trippie Redd,13401.7,6.329,8704.8,4520.4,4696.8
Snoop Dogg,13336.3,6.748,5090.2,1201.6,8246.0
Demi Lovato,13327.0,5.021,8456.0,7445.0,4871.0
Red Hot Chili Peppers,13261.8,6.86,13261.8,13261.2,
OneRepublic,13113.7,7.502,12111.1,10536.2,1002.6
Frank Ocean,13047.8,8.713,10234.5,9438.5,2813.3
"Tyler, The Creator",12929.5,10.078,10802.9,5630.7,2126.6
Bebe Rexha,12882.8,5.608,4770.2,2347.7,8112.6
Big Sean,12706.5,3.141,5938.9,1936.2,6767.5
Migos,12645.3,3.116,8485.2,3954.5,4160.1
A Boogie Wit da Hoodie,12581.4,5.764,8120.1,4186.4,4461.3
Mac Miller,12472.7,8.243,11507.2,8904.8,965.5
Michael Jackson,12454.5,7.007,11833.5,10858.8,621.0
Pop Smoke,12371.6,6.446,11171.0,5824.4,1200.6
Charlie Puth,12314.8,6.985,9797.4,5813.4,2517.4
Swae Lee,12232.1,5.917,367.4,115.4,11864.8
ArcÃ¡ngel,12166.7,7.913,4521.6,996.2,7645.1
Olivia Rodrigo,12161.1,71.896,12159.0,10909.5,2.1
Kodak Black,11875.9,6.018,7932.9,4814.6,3943.1
Sebastian Yatra,11871.2,5.99,7742.2,3201.6,4128.9
G-Eazy,11803.1,2.831,8778.4,1293.3,3024.7
YoungBoy Never Broke Again,11759.0,7.439,8653.4,7535.6,3105.6
Diplo,11661.2,4.255,3676.6,29.6,7984.7
Elton John,11648.0,7.572,10495.4,7411.9,1152.6
